actual,predicted,confidence,subject,title,excerpt
fake,real,0.9998193408002001,US_News,NORTH KOREA: Trump’s Recklessness Could Trigger All-Out Conflict on Korean Peninsula,NORTH KOREA: Trump’s Recklessness Could Trigger All-Out Conflict on Korean Peninsula  21st Century Wire says Washington s muscle flexing seems to have taken on a life of its own as the shadow of US ne
fake,real,0.9997069358341947,politics,EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland,"EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland When asked if a pre-emptive military strike is a possibility, as reported last we"
fake,real,0.9973018890279568,politics,"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?","IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery? President Barack Obama has called the fight against human trafficking  o"
real,fake,0.9921958477590163,politicsNews,"Trump gets skewered, Clinton finds support at TV's Emmy awards","Trump gets skewered, Clinton finds support at TV's Emmy awards LOS ANGELES (Reuters) - As the U.S. presidential election draws near, television’s stars didn’t hold back on their opinions at Sunday’s E"
fake,real,0.9910862500622278,US_News,"US Coalition Airstrike on Syrian Army in Al-Tanf is Another Calculated War Crime, Aims to Destroy Arab Unity","US Coalition Airstrike on Syrian Army in Al-Tanf is Another Calculated War Crime, Aims to Destroy Arab Unity Bouthaina Shaaban, Political & Media Advisor to Syrian President, Bashar Al AssadThe crimes"
fake,real,0.9906243889467152,politics,MARINE CORPS GENERAL WARNS U.S. TROOPS: “There’s A War Coming”,"MARINE CORPS GENERAL WARNS U.S. TROOPS: “There’s A War Coming” While the mainstream media remains transfixed on a phony Trump-Russian collusion story, they completely ignore the real news, about how t"
fake,real,0.9889293654666439,politics,NEW LAW WILL PUNISH MUSLIM Migrants…Assimilate Or Get Out!,NEW LAW WILL PUNISH MUSLIM Migrants…Assimilate Or Get Out! Is this common sense law even practical given how many Muslims migrants with ties to terrorism have already embedded themselves in communitie
fake,real,0.9881785383691288,politics,CONGRESS WARNED Threat of Nuclear EMP Attack Has Never Been Higher: “N. Korean EMP Attack Would Kill ‘90% of All Americans’,CONGRESS WARNED Threat of Nuclear EMP Attack Has Never Been Higher: “N. Korean EMP Attack Would Kill ‘90% of All Americans’ While fecklessness towards the emerging North Korean threat characterized th
fake,real,0.9875961960868785,politics,SOUTH KOREA Uses Hilarious Technique To TAUNT North Korea After Soldier Escapes Kim Jong Un’s Hell [VIDEO],"SOUTH KOREA Uses Hilarious Technique To TAUNT North Korea After Soldier Escapes Kim Jong Un’s Hell [VIDEO] There is no word yet, about how Rocket Man plans to respond to the egg on his face South Kore"
fake,real,0.9872153575385713,politics,NEWSFLASH FOR OUR IMPERIAL PRESIDENT: STATES CAN REFUSE IRAN DEAL [Video],NEWSFLASH FOR OUR IMPERIAL PRESIDENT: STATES CAN REFUSE IRAN DEAL [Video] As Barack Hussein Obama tours around the country trying to convince the low information voter that the lopsided and dangerous 
fake,real,0.986002048093373,politics,BREAKING: IRAN Tests Cruise Missile…Trump WARNS…They’re “Playing with fire…They don’t appreciate how ‘kind’ President Obama was to them. Not Me!” [VIDEO],BREAKING: IRAN Tests Cruise Missile…Trump WARNS…They’re “Playing with fire…They don’t appreciate how ‘kind’ President Obama was to them. Not Me!” [VIDEO] Peace through strength President Donald Trump 
fake,real,0.9859562837498672,US_News,How Trump is Accelerating the Decline of US Global Influence,How Trump is Accelerating the Decline of US Global Influence It should also be said that the current US Administration is merely finishing the job which started under three consecutive two-term presid
real,fake,0.985477156572309,politicsNews,Conservatives bristle as Trump backs off Clinton prosecution,Conservatives bristle as Trump backs off Clinton prosecution (Reuters) - Some of Donald Trump’s strongest conservative supporters are voicing anger and disappointment at the president-elect’s comments
real,fake,0.9851408838546016,politicsNews,Trump steps up attacks with 'bimbo' tweet before Fox News debate,"Trump steps up attacks with 'bimbo' tweet before Fox News debate WASHINGTON (Reuters) - U.S. presidential candidate Donald Trump on Wednesday escalated a fight with Fox News, using the word “bimbo” in"
real,fake,0.9844709773735627,politicsNews,Trump says violence by anti-fascists proves him right on Charlottesville,Trump says violence by anti-fascists proves him right on Charlottesville WASHINGTON (Reuters) - President Donald Trump on Thursday stood by his belief that both sides were to blame for violence in Cha
