article_index,actual,models_wrong,n_models_wrong,subject,n_words,n_matched_features,mentions_reuters,title
9348,fake,nb+svm+lr,3,politics,380,115,False,SOUTH KOREA Uses Hilarious Technique To TAUNT North Korea After Soldier Escapes Kim Jong Un’s Hell [VIDEO]
11660,fake,nb+svm+lr,3,politics,525,200,False,BREAKING: GEN MICHAEL FLYNN RESIGNS After Close Friend Steve Bannon Reportedly Offered These 4 Words Of Advice
16405,fake,nb+svm+lr,3,Government News,302,74,False,IRANIAN NAVY FIRES WARNING SHOTS ON AND SEIZES CARGO SHIP; U.S. NAVY SENDS DESTROYER
10178,fake,nb+svm+lr,3,politics,507,149,False,OKLAHOMA Supreme Court Rules Punishing Smokers With Cigarette Tax “Unconstitutional”…Lawmakers Forced To Fill SHOCKING Hole In State Budget
11694,fake,nb+svm+lr,3,politics,207,92,False,BREAKING: Activist Appeals Court Rules Against Trump…Trump Comes Out Swinging…Tweets Awesome Reply
14051,fake,nb+svm+lr,3,politics,514,179,False,NEW LAW WILL PUNISH MUSLIM Migrants…Assimilate Or Get Out!
14369,fake,nb+svm+lr,3,politics,617,168,True,INVASION OF AMERICA: POSSIBILITY OF A TRUMP WALL Has Illegals Racing To Across The Border In Record Numbers
15836,fake,nb+svm+lr,3,politics,671,193,True,EGYPTIAN COURT SENTENCES MUSLIM BROTHERHOOD LEADER AND 13 OTHERS TO DEATH AND LEADER’S “Peaceful” U.S.-Egyptian Brother To Life In Prison
10571,fake,nb+svm+lr,3,politics,315,106,False,FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S.
13171,fake,nb+svm+lr,3,politics,194,67,False,EPIPEN CEO UNDER FIRE FOR PRICE GOUGING Is Daughter Of US Senator
12466,fake,nb+svm+lr,3,politics,359,126,False,OBAMA UNLEASHES HUNDREDS Of Intelligence Agents To “Protect Elections” From Outside Forces…Hacker known as “Guccifer 2.0” Warns Of Threat “From INSIDE The System”
14743,fake,nb+svm+lr,3,politics,1827,434,True,"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?"
15227,fake,nb+svm+lr,3,politics,259,83,True,"IN A RULING THAT WILL MAKE OBAMA’S HEAD SPIN, Fed Judge Says Telling Illegals “Show Us Your Papers” Is Not Discriminatory"
15825,fake,nb+svm+lr,3,politics,251,88,False,CUBA STILL A COMMIE HELLHOLE AFTER OBAMA’S “NORMALIZATION”: 4 YEARS IN THE SLAMMER FOR “SOCIAL DANGEROUSNESS”
11157,fake,nb+svm+lr,3,politics,355,120,False,MUSLIMS OUTRAGED: MUNICH ARTIST DISPLAYS “Funny” Racy Bare-Legged “Burka Barbies” [Video]
13283,fake,nb+svm+lr,3,politics,308,88,False,"How Is Panama’s “Migrant Crisis” Giving A FREE PASS TO THE U.S. To Anyone From Asia, Cuba, Africa, Haiti…When Did We Become The World’s Dumping Ground?"
15572,fake,nb+svm+lr,3,politics,693,202,False,ARMY THREATENS GREEN BERET WAR HERO WITH COURT MARTIAL For Whistleblowing On Failed Hostage Rescue
9172,fake,nb+svm+lr,3,politics,573,150,False,JUST IN: Fusion GPS Sued By 3 Billionaires Over Their “Defamation” In War Against Trump
9847,fake,nb+svm+lr,3,politics,328,133,True,Why John McCain Will Never Vote to Repeal and Replace Obamacare
