actual,predicted,confidence,subject,title,excerpt
real,fake,0.9999539288323237,politicsNews,Russia's response to Trump leak reports: don't read U.S. newspapers,"Russia's response to Trump leak reports: don't read U.S. newspapers (Reuters) - A Russian Foreign Ministry spokeswoman on Tuesday advised that people don’t read American newspapers, in response to U.S"
real,fake,0.9982348994427346,politicsNews,Highlights from Reuters' exclusive interview with Donald Trump,Highlights from Reuters' exclusive interview with Donald Trump (Reuters) - Below are the highlights from Reuters’ Oct. 25 exclusive interview with Republican presidential nominee Donald Trump.  “(Hill
fake,real,0.9963394014477688,politics,EGYPTIAN COURT SENTENCES MUSLIM BROTHERHOOD LEADER AND 13 OTHERS TO DEATH AND LEADER’S “Peaceful” U.S.-Egyptian Brother To Life In Prison,EGYPTIAN COURT SENTENCES MUSLIM BROTHERHOOD LEADER AND 13 OTHERS TO DEATH AND LEADER’S “Peaceful” U.S.-Egyptian Brother To Life In Prison But wait wasn t the Muslim Brotherhood s Arab Spring (Sharia L
fake,real,0.9875385493127636,politics,"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?","IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery? President Barack Obama has called the fight against human trafficking  o"
real,fake,0.9851517755730116,politicsNews,Jenner uses women's restroom at Trump property,Jenner uses women's restroom at Trump property Caitlyn Jenner posted a video on Wednesday (April 26) of herself using a women’s bathroom at Republican Presidential candidate Donald Trump’s New York ho
fake,real,0.9849687477995243,politics,ARIZONA BIKERS ARE ABOUT To Become Violent “Dreamers” Worst Nightmare At Upcoming Phoenix Trump Rally,"ARIZONA BIKERS ARE ABOUT To Become Violent “Dreamers” Worst Nightmare At Upcoming Phoenix Trump Rally  The Left has been itching for a fight the only problem is, they ve been itching for a fight again"
fake,real,0.9825446806354474,politics,EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland,"EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland When asked if a pre-emptive military strike is a possibility, as reported last we"
fake,real,0.9809464869265452,politics,FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S.,"FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S. Ford will export the next-generation Focus compact car from China to North America in 2019, rather than from Mexico as ear"
real,fake,0.9769547198241617,politicsNews,"Before the White House, Kennedy was a high-school prankster","Before the White House, Kennedy was a high-school prankster BOSTON (Reuters) - Years before he captained the torpedo boat PT-109, ran for office or set the United States on a path to put a man on the "
real,fake,0.9745257197194814,worldnews,A Picture and its Story: Reaching out to rescue a Rohingya woman,"A Picture and its Story: Reaching out to rescue a Rohingya woman PALONG KHALI, Bangladesh (Reuters) - Hannah McKay was on her first foreign assignment, just three months after joining Reuters, photogr"
real,fake,0.9617970733739076,politicsNews,Suppressing free press is 'how dictators get started': Senator McCain,"Suppressing free press is 'how dictators get started': Senator McCain MUNICH (Reuters) - Senator John McCain, defending the media against the latest attack by President Donald Trump, warned that suppr"
real,fake,0.9584233759008696,worldnews,Mother's fight to discover fate of dead baby's body finds empty coffin,Mother's fight to discover fate of dead baby's body finds empty coffin EDINBURGH (Reuters) - A mother who has been fighting for four decades to find out what happened to her dead baby boy has discover
fake,real,0.9541870101128539,politics,"IN A RULING THAT WILL MAKE OBAMA’S HEAD SPIN, Fed Judge Says Telling Illegals “Show Us Your Papers” Is Not Discriminatory","IN A RULING THAT WILL MAKE OBAMA’S HEAD SPIN, Fed Judge Says Telling Illegals “Show Us Your Papers” Is Not Discriminatory Another victory for one of the most bad ass Sheriff s in America A federal jud"
fake,real,0.9354744046686693,Government News,FOLLOW THE MONEY: MEXICAN GIVEAWAY OF MILLIONS OF FLAT SCREEN TV’S TO THE POOR RAISES QUESTIONS,FOLLOW THE MONEY: MEXICAN GIVEAWAY OF MILLIONS OF FLAT SCREEN TV’S TO THE POOR RAISES QUESTIONS Follow the money on this one Mexico is spending over $1.6 billion dollars on flat screens for millions a
real,fake,0.927882486162884,politicsNews,Graphic account of Hulk Hogan sex tape read in Florida court,"Graphic account of Hulk Hogan sex tape read in Florida court ST. PETERSBURG, Fla. (Reuters) - Gawker founder Nick Denton read out a graphic account of the acts shown in a sex tape featuring wrestling "
