actual,predicted,confidence,subject,title,excerpt
fake,real,0.9687189812080936,politics,EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland,"EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland When asked if a pre-emptive military strike is a possibility, as reported last we"
real,fake,0.9560969741190102,politicsNews,Highlights from Reuters' exclusive interview with Donald Trump,Highlights from Reuters' exclusive interview with Donald Trump (Reuters) - Below are the highlights from Reuters’ Oct. 25 exclusive interview with Republican presidential nominee Donald Trump.  “(Hill
real,fake,0.9335832251722447,worldnews,A Picture and its Story: Reaching out to rescue a Rohingya woman,"A Picture and its Story: Reaching out to rescue a Rohingya woman PALONG KHALI, Bangladesh (Reuters) - Hannah McKay was on her first foreign assignment, just three months after joining Reuters, photogr"
fake,real,0.9190089571670724,politics,FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S.,"FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S. Ford will export the next-generation Focus compact car from China to North America in 2019, rather than from Mexico as ear"
fake,real,0.9119056335331939,politics,EGYPTIAN COURT SENTENCES MUSLIM BROTHERHOOD LEADER AND 13 OTHERS TO DEATH AND LEADER’S “Peaceful” U.S.-Egyptian Brother To Life In Prison,EGYPTIAN COURT SENTENCES MUSLIM BROTHERHOOD LEADER AND 13 OTHERS TO DEATH AND LEADER’S “Peaceful” U.S.-Egyptian Brother To Life In Prison But wait wasn t the Muslim Brotherhood s Arab Spring (Sharia L
fake,real,0.9078726626911569,politics,"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?","IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery? President Barack Obama has called the fight against human trafficking  o"
real,fake,0.9022590311728217,politicsNews,Russia's response to Trump leak reports: don't read U.S. newspapers,"Russia's response to Trump leak reports: don't read U.S. newspapers (Reuters) - A Russian Foreign Ministry spokeswoman on Tuesday advised that people don’t read American newspapers, in response to U.S"
fake,real,0.8928628067634631,politics,BREAKING: Activist Appeals Court Rules Against Trump…Trump Comes Out Swinging…Tweets Awesome Reply,BREAKING: Activist Appeals Court Rules Against Trump…Trump Comes Out Swinging…Tweets Awesome Reply A federal appeals court ruled that the U.S. will remain open to refugees and visa holders from seven 
fake,real,0.8747289819312623,US_News,NORTH KOREA: Trump’s Recklessness Could Trigger All-Out Conflict on Korean Peninsula,NORTH KOREA: Trump’s Recklessness Could Trigger All-Out Conflict on Korean Peninsula  21st Century Wire says Washington s muscle flexing seems to have taken on a life of its own as the shadow of US ne
real,fake,0.8730941048224442,politicsNews,Jenner uses women's restroom at Trump property,Jenner uses women's restroom at Trump property Caitlyn Jenner posted a video on Wednesday (April 26) of herself using a women’s bathroom at Republican Presidential candidate Donald Trump’s New York ho
fake,real,0.8619173363710064,Government News,FOLLOW THE MONEY: MEXICAN GIVEAWAY OF MILLIONS OF FLAT SCREEN TV’S TO THE POOR RAISES QUESTIONS,FOLLOW THE MONEY: MEXICAN GIVEAWAY OF MILLIONS OF FLAT SCREEN TV’S TO THE POOR RAISES QUESTIONS Follow the money on this one Mexico is spending over $1.6 billion dollars on flat screens for millions a
fake,real,0.8555404686773768,politics,WARNING: FEDS PREDICT $30 TRILLION DOLLAR DEBT Because Of These Two Key Things,WARNING: FEDS PREDICT $30 TRILLION DOLLAR DEBT Because Of These Two Key Things You can blame the escalating debt on Obamacare and taxes We can thank Obama for this The federal government will be flirt
real,fake,0.8359833413924003,politicsNews,Suppressing free press is 'how dictators get started': Senator McCain,"Suppressing free press is 'how dictators get started': Senator McCain MUNICH (Reuters) - Senator John McCain, defending the media against the latest attack by President Donald Trump, warned that suppr"
fake,real,0.8254787111360412,politics,ARIZONA BIKERS ARE ABOUT To Become Violent “Dreamers” Worst Nightmare At Upcoming Phoenix Trump Rally,"ARIZONA BIKERS ARE ABOUT To Become Violent “Dreamers” Worst Nightmare At Upcoming Phoenix Trump Rally  The Left has been itching for a fight the only problem is, they ve been itching for a fight again"
real,fake,0.8231740317947449,politicsNews,Graphic account of Hulk Hogan sex tape read in Florida court,"Graphic account of Hulk Hogan sex tape read in Florida court ST. PETERSBURG, Fla. (Reuters) - Gawker founder Nick Denton read out a graphic account of the acts shown in a sex tape featuring wrestling "
