,fake_term,fake_log_ratio,fake_docs,real_term,real_log_ratio,real_docs
0,featured image,8.528454604747958,7948,washington reuters,-7.173797290784626,6643
1,getty images,8.520623315513824,3942,york reuters,-6.499593177970026,845
2,pic twitter,8.139337274447795,2692,reuters republican,-6.462261931604666,814
3,twitter com,8.138594332363104,2690,london reuters,-6.3548543323251145,731
4,getty,7.854744866444825,4052,moscow reuters,-6.220541994717521,639
5,screen capture,7.423278293521459,1315,berlin reuters,-6.01482386011717,520
6,image video,7.095280683891219,947,reuters president,-5.91732318311661,2366
7,pic,7.052904505224565,2727,beijing reuters,-5.888124028424349,458
8,century wire,6.6722572635696755,620,reuters senate,-5.8593927703838675,445
9,image screenshot,6.665795205541585,616,reuters united,-5.857148100530043,444
10,flickr,6.572428031529888,561,factbox,-5.801706652046184,420
11,image screen,6.517569670977841,531,brussels reuters,-5.650718030189574,361
12,somodevilla,6.387255439305094,466,beirut reuters,-5.645177849813959,359
13,chip somodevilla,6.385111815761843,465,president tayyip,-5.611276298138278,347
14,somodevilla getty,6.302383100564214,428,reuters house,-5.585073925744253,338
15,member wire,6.234887608942766,400,reuters democratic,-5.570214811340503,333
16,image screengrab,6.219811946537319,394,paris reuters,-5.508466804272056,313
17,image flickr,6.175820377255785,377,reuters white,-5.418556034123424,286
18,wire says,6.151722825676724,368,reuters china,-5.372201924751874,273
19,alex wong,6.118661963415836,356,rakhine,-5.35006079887466,267
