model,article_index,actual,predicted,direction,confidence,subject,n_words,length_bucket,n_matched_features,mentions_reuters,reuters_tag,wire_dateline,title
Logistic Regression,10277,fake,real,false REAL,0.9687189812080936,politics,1184,1000+,323,False,False,False,EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland
Logistic Regression,25560,real,fake,false FAKE,0.9560969741190102,politicsNews,675,500-999,196,True,True,False,Highlights from Reuters' exclusive interview with Donald Trump
Logistic Regression,33525,real,fake,false FAKE,0.9335832251722447,worldnews,537,500-999,116,True,True,False,A Picture and its Story: Reaching out to rescue a Rohingya woman
Logistic Regression,10571,fake,real,false REAL,0.9190089571670724,politics,315,200-499,106,False,False,False,FORD’S NEW CEO SNUBS President Trump…Will Build Focus In China…Export To U.S.
Logistic Regression,15836,fake,real,false REAL,0.9119056335331939,politics,671,500-999,193,True,False,False,EGYPTIAN COURT SENTENCES MUSLIM BROTHERHOOD LEADER AND 13 OTHERS TO DEATH AND LEADER’S “Peaceful” U.S.-Egyptian Brother To Life In Prison
Logistic Regression,14743,fake,real,false REAL,0.9078726626911569,politics,1827,1000+,434,True,False,False,"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?"
Logistic Regression,21665,real,fake,false FAKE,0.9022590311728217,politicsNews,115,50-199,51,True,True,False,Russia's response to Trump leak reports: don't read U.S. newspapers
Logistic Regression,11694,fake,real,false REAL,0.8928628067634631,politics,207,200-499,92,False,False,False,BREAKING: Activist Appeals Court Rules Against Trump…Trump Comes Out Swinging…Tweets Awesome Reply
Logistic Regression,17285,fake,real,false REAL,0.8747289819312623,US_News,1091,1000+,305,False,False,False,NORTH KOREA: Trump’s Recklessness Could Trigger All-Out Conflict on Korean Peninsula
Logistic Regression,27590,real,fake,false FAKE,0.8730941048224442,politicsNews,129,50-199,62,False,False,False,Jenner uses women's restroom at Trump property
Logistic Regression,16282,fake,real,false REAL,0.8619173363710064,Government News,1406,1000+,321,False,False,False,FOLLOW THE MONEY: MEXICAN GIVEAWAY OF MILLIONS OF FLAT SCREEN TV’S TO THE POOR RAISES QUESTIONS
Logistic Regression,14588,fake,real,false REAL,0.8555404686773768,politics,503,500-999,141,False,False,False,WARNING: FEDS PREDICT $30 TRILLION DOLLAR DEBT Because Of These Two Key Things
Logistic Regression,23222,real,fake,false FAKE,0.8359833413924003,politicsNews,408,200-499,129,True,True,True,Suppressing free press is 'how dictators get started': Senator McCain
Logistic Regression,13672,fake,real,false REAL,0.8254787111360412,politics,425,200-499,117,False,False,False,ARIZONA BIKERS ARE ABOUT To Become Violent “Dreamers” Worst Nightmare At Upcoming Phoenix Trump Rally
Logistic Regression,28194,real,fake,false FAKE,0.8231740317947449,politicsNews,432,200-499,134,True,True,False,Graphic account of Hulk Hogan sex tape read in Florida court
Logistic Regression,28994,real,fake,false FAKE,0.8224551054513254,politicsNews,1017,1000+,281,True,True,False,"Factbox: Trump seen from Davos: 'unbelievable', 'embarrassing' but candor 'hit a vein'"
Logistic Regression,21433,real,fake,false FAKE,0.814769605571732,politicsNews,544,500-999,128,True,True,True,"Before the White House, Kennedy was a high-school prankster"
Logistic Regression,11660,fake,real,false REAL,0.8138862714746067,politics,525,500-999,200,False,False,False,BREAKING: GEN MICHAEL FLYNN RESIGNS After Close Friend Steve Bannon Reportedly Offered These 4 Words Of Advice
Logistic Regression,12208,fake,real,false REAL,0.8130877371761734,politics,243,200-499,97,False,False,False,"ANGELA MERKEL Running For Re-Election Makes Stunning Announcement To BAN BURKAS, After Flooding Nation With 2 Million (Mostly Muslim) Migrants"
Logistic Regression,24958,real,fake,false FAKE,0.8125052199225471,politicsNews,433,200-499,173,True,True,False,Conservatives bristle as Trump backs off Clinton prosecution
Logistic Regression,12466,fake,real,false REAL,0.8046578615237671,politics,359,200-499,126,False,False,False,OBAMA UNLEASHES HUNDREDS Of Intelligence Agents To “Protect Elections” From Outside Forces…Hacker known as “Guccifer 2.0” Warns Of Threat “From INSIDE The System”
Logistic Regression,9847,fake,real,false REAL,0.8021395668105107,politics,328,200-499,133,True,True,False,Why John McCain Will Never Vote to Repeal and Replace Obamacare
Logistic Regression,14369,fake,real,false REAL,0.7823568231382289,politics,617,500-999,168,True,True,False,INVASION OF AMERICA: POSSIBILITY OF A TRUMP WALL Has Illegals Racing To Across The Border In Record Numbers
