marker,in_fake,in_real,gap,one_rule_accuracy
(Reuters) tag,0.00039090858323560616,0.9920267975089639,0.9916358889257283,0.9954990665677825
ALL-CAPS run (4+ words),0.25163343943709165,0.010096244574448009,0.24153719486264363,0.6518169961384037
pic.twitter.com link,0.1502764282124309,0.0,0.1502764282124309,0.6108738459964709
@mention,0.11079466130563467,0.011558784676354029,0.09923587662928064,0.58652788788584
'21st Century Wire',0.03507008432456581,0.0,0.03507008432456581,0.5581157455949671
'Reporting by ...',0.0,0.009152670315153802,0.009152670315153802,0.4629056594123213
'READ MORE:',0.005584408331937231,0.0001887148518588413,0.005395693480078389,0.5445106513566734
'Featured image via',0.0018986988328586587,0.0,0.0018986988328586587,0.5429250952612331
word 'reuters',0.00011168816663874462,0.0007548594074353652,0.0006431712407966205,0.45830243203846255
wire dateline (CITY (Agency) -),0.0,0.0006133232685412342,0.0006133232685412342,0.45827685855305217
