rank,term,corpus_tf,in_fake,in_real,gap
1,trump,109157,0.5891348369527267,0.4511411216606711,0.13799371529205562
2,said,98161,0.5557572795195866,0.9379017514890605,0.3821444719694739
3,president,40129,0.4522030584456393,0.6081854101550982,0.1559823517094589
4,people,29511,0.5111374903987151,0.36539482219732267,0.14574266820139248
5,state,25005,0.23657565812443265,0.3993630948870673,0.16278743676263463
6,reuters,23238,0.011800851895817331,0.9981128737394587,0.9863120218436413
7,new,22845,0.32965575029676697,0.3903992451494958,0.06074349485272884
8,house,21558,0.2525661615808952,0.3284189420298402,0.075852780448945
9,donald,21265,0.43844703582152084,0.43604411157634015,0.002402924245180682
10,republican,20258,0.24977306054046505,0.3035914371645928,0.05381837662412775
11,obama,20134,0.26262132532644367,0.17939494014271393,0.08322638518372974
12,government,20103,0.17505760770895887,0.38939670932358317,0.2143391016146243
13,donald trump,19985,0.43153411074645626,0.43073656896856755,0.0007975417778887106
14,clinton,19787,0.22484463375462607,0.10821489650291914,0.11662973725170693
15,states,19369,0.2399273793729488,0.3584360441115763,0.1185086647386275
16,just,18082,0.5430486697856295,0.16535943857993748,0.377689231205692
17,year,17684,0.2399273793729488,0.3861532110632777,0.1462258316903289
18,white,17187,0.2689058026674115,0.22710385091702542,0.04180195175038606
19,united,16889,0.1952377627260666,0.3419826620274813,0.14674489930141468
20,told,16584,0.24795754486418548,0.42867252462110045,0.18071497975691497
21,campaign,16202,0.23678514070246492,0.23076015804682432,0.006024982655640609
22,election,15991,0.19635500314223867,0.2666155569971103,0.07026055385487165
23,party,15445,0.17240416172055023,0.23093707613375009,0.058532914413199855
24,like,15431,0.45639271000628445,0.16099545910243557,0.2953972509038489
25,time,14651,0.37825570840025136,0.25281594621690157,0.1254397621833498
26,news,13530,0.29201871377697086,0.19997641092174323,0.09204230285522763
27,washington,13529,0.12973954332797988,0.4215958011440703,0.2918562578160904
28,united states,13502,0.17743174359332448,0.28153564899451555,0.10410390540119108
29,country,12774,0.24572306403184135,0.269741109866132,0.024018045834290624
30,did,11973,0.279798896725089,0.24933655717402842,0.03046233955106059
